127.0.0.1 - - [11/Apr/2020:17:59:13 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Apr/2020:17:59:32 +0530] "GET /Project_3/ HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [11/Apr/2020:17:59:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Apr/2020:18:00:10 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4830
0:0:0:0:0:0:0:1 - - [11/Apr/2020:18:00:24 +0530] "GET /Project_3/LoginCtl HTTP/1.1" 200 7899
0:0:0:0:0:0:0:1 - - [11/Apr/2020:18:00:49 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:18:00:49 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [11/Apr/2020:18:00:54 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 18568
0:0:0:0:0:0:0:1 - - [11/Apr/2020:18:57:54 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 8140
0:0:0:0:0:0:0:1 - - [11/Apr/2020:18:58:01 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 8140
0:0:0:0:0:0:0:1 - - [11/Apr/2020:18:58:09 +0530] "GET /Project_3/ HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [11/Apr/2020:19:18:07 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4830
0:0:0:0:0:0:0:1 - - [11/Apr/2020:19:22:50 +0530] "GET /Project_3/UserRegistrationCtl HTTP/1.1" 200 11715
0:0:0:0:0:0:0:1 - - [11/Apr/2020:19:25:22 +0530] "POST /Project_3/UserRegistrationCtl HTTP/1.1" 200 11890
0:0:0:0:0:0:0:1 - - [11/Apr/2020:19:25:48 +0530] "GET /Project_3/LoginCtl HTTP/1.1" 200 7899
0:0:0:0:0:0:0:1 - - [11/Apr/2020:19:26:07 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:19:26:07 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [11/Apr/2020:19:26:25 +0530] "GET /Project_3/ctl/TimeTableListCtl HTTP/1.1" 200 18568
0:0:0:0:0:0:0:1 - - [11/Apr/2020:19:28:40 +0530] "GET /Project_3/ctl/UserCtl HTTP/1.1" 200 18190
0:0:0:0:0:0:0:1 - - [11/Apr/2020:19:36:32 +0530] "GET /Project_3/LoginCtl?operation=logout HTTP/1.1" 200 8113
0:0:0:0:0:0:0:1 - - [11/Apr/2020:19:46:48 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:19:46:48 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10881
