127.0.0.1 - - [03/Mar/2020:18:23:42 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Mar/2020:18:23:44 +0530] "GET /Project_3/ HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [03/Mar/2020:18:23:44 +0530] "GET /Project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:18:23:44 +0530] "GET /Project_3/img/white.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [03/Mar/2020:18:23:48 +0530] "GET /Project_3/ HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [03/Mar/2020:18:23:49 +0530] "GET /Project_3/img/white.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [03/Mar/2020:18:23:52 +0530] "GET /Project_3/ HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [03/Mar/2020:18:23:52 +0530] "GET /Project_3/img/white.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [03/Mar/2020:18:29:58 +0530] "GET /Project_3/ HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [03/Mar/2020:18:29:58 +0530] "GET /Project_3/img/white.png HTTP/1.1" 404 1040
