127.0.0.1 - - [12/Mar/2020:14:49:28 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Mar/2020:14:49:37 +0530] "GET /Project_3/ HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [12/Mar/2020:14:49:37 +0530] "GET /Project_3/img/p3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2020:14:49:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Mar/2020:14:49:47 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10172
0:0:0:0:0:0:0:1 - - [12/Mar/2020:14:49:47 +0530] "GET /Project_3/jsp/p3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2020:14:49:57 +0530] "GET /Project_3/LoginCtl HTTP/1.1" 200 11841
0:0:0:0:0:0:0:1 - - [12/Mar/2020:14:50:13 +0530] "GET /Project_3/ctl/UserCtl HTTP/1.1" 200 16125
0:0:0:0:0:0:0:1 - - [12/Mar/2020:14:52:10 +0530] "POST /Project_3/ctl/UserCtl HTTP/1.1" 200 16180
0:0:0:0:0:0:0:1 - - [12/Mar/2020:14:56:18 +0530] "POST /Project_3/ctl/UserCtl HTTP/1.1" 200 16180
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:02:22 +0530] "GET /Project_3/ctl/UserCtl HTTP/1.1" 200 16130
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:02:28 +0530] "POST /Project_3/ctl/UserCtl HTTP/1.1" 200 16308
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:04:03 +0530] "GET /Project_3/ctl/UserCtl HTTP/1.1" 200 16130
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:04:08 +0530] "POST /Project_3/ctl/UserCtl HTTP/1.1" 200 16308
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:05:55 +0530] "GET /Project_3/ctl/UserCtl HTTP/1.1" 200 16130
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:06:01 +0530] "POST /Project_3/ctl/UserCtl HTTP/1.1" 200 16308
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:07:18 +0530] "GET /Project_3/ctl/UserCtl HTTP/1.1" 200 16130
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:07:25 +0530] "POST /Project_3/ctl/UserCtl HTTP/1.1" 200 16308
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:10:51 +0530] "GET /Project_3/ctl/UserCtl HTTP/1.1" 200 16130
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:10:57 +0530] "POST /Project_3/ctl/UserCtl HTTP/1.1" 200 16290
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:12:02 +0530] "POST /Project_3/ctl/UserCtl HTTP/1.1" 200 16167
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:14:54 +0530] "GET /Project_3/ctl/UserCtl HTTP/1.1" 200 16130
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:15:35 +0530] "POST /Project_3/ctl/UserCtl HTTP/1.1" 200 16157
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:20:08 +0530] "GET /Project_3/ctl/UserCtl HTTP/1.1" 200 16130
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:20:40 +0530] "POST /Project_3/ctl/UserCtl HTTP/1.1" 200 16393
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:21:22 +0530] "POST /Project_3/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:21:22 +0530] "GET /ctl/ErrorCtl1 HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:23:07 +0530] "GET /Project_3/ctl/UserCtl HTTP/1.1" 200 16130
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:23:47 +0530] "POST /Project_3/ctl/UserCtl HTTP/1.1" 200 16378
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:39:08 +0530] "GET /Project_3/ctl/UserCtl HTTP/1.1" 200 16130
0:0:0:0:0:0:0:1 - - [12/Mar/2020:15:39:40 +0530] "POST /Project_3/ctl/UserCtl HTTP/1.1" 200 16347
