127.0.0.1 - - [04/Mar/2020:17:27:14 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Mar/2020:17:27:16 +0530] "GET /Project_3/ HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [04/Mar/2020:17:27:16 +0530] "GET /Project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2020:17:27:16 +0530] "GET /Project_3/img/p3.png HTTP/1.1" 200 314790
0:0:0:0:0:0:0:1 - - [04/Mar/2020:17:27:59 +0530] "GET /Project_3/ HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [04/Mar/2020:17:27:59 +0530] "GET /Project_3/img/p3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2020:17:28:36 +0530] "GET /Project_3/ HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [04/Mar/2020:17:28:36 +0530] "GET /Project_3/img/p3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2020:17:28:53 +0530] "GET /Project_3/ HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [04/Mar/2020:17:29:06 +0530] "GET /Project_3/ HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [04/Mar/2020:17:29:06 +0530] "GET /Project_3/img/p3.png HTTP/1.1" 304 -
