127.0.0.1 - - [17/Mar/2020:10:47:53 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Mar/2020:10:48:01 +0530] "GET /Project_3/ HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [17/Mar/2020:10:48:06 +0530] "GET /Project_3/img/p3.png HTTP/1.1" 200 314790
0:0:0:0:0:0:0:1 - - [17/Mar/2020:10:48:06 +0530] "GET /Project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [17/Mar/2020:10:48:07 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Mar/2020:10:48:17 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [17/Mar/2020:10:48:17 +0530] "GET /Project_3/jsp/p3.png HTTP/1.1" 200 314790
0:0:0:0:0:0:0:1 - - [17/Mar/2020:10:48:25 +0530] "GET /Project_3/UserRegistrationCtl HTTP/1.1" 200 10938
0:0:0:0:0:0:0:1 - - [17/Mar/2020:10:48:57 +0530] "GET /Project_3/UserRegistrationCtl HTTP/1.1" 200 10938
0:0:0:0:0:0:0:1 - - [17/Mar/2020:10:50:37 +0530] "POST /Project_3/UserRegistrationCtl HTTP/1.1" 200 11379
0:0:0:0:0:0:0:1 - - [17/Mar/2020:10:51:15 +0530] "GET /Project_3/UserRegistrationCtl HTTP/1.1" 200 10938
0:0:0:0:0:0:0:1 - - [17/Mar/2020:10:51:26 +0530] "POST /Project_3/UserRegistrationCtl HTTP/1.1" 200 11122
0:0:0:0:0:0:0:1 - - [17/Mar/2020:10:51:36 +0530] "POST /Project_3/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2020:10:51:36 +0530] "GET /Project_3/UserRegistrationCtl HTTP/1.1" 200 10938
0:0:0:0:0:0:0:1 - - [17/Mar/2020:12:15:34 +0530] "POST /Project_3/UserRegistrationCtl HTTP/1.1" 200 11122
0:0:0:0:0:0:0:1 - - [17/Mar/2020:12:16:01 +0530] "GET /Project_3/ForgetPasswordCtl HTTP/1.1" 200 6907
0:0:0:0:0:0:0:1 - - [17/Mar/2020:12:16:05 +0530] "POST /Project_3/ForgetPasswordCtl HTTP/1.1" 200 6907
0:0:0:0:0:0:0:1 - - [17/Mar/2020:12:16:32 +0530] "POST /Project_3/ForgetPasswordCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Mar/2020:12:22:10 +0530] "GET /Project_3/ForgetPasswordCtl HTTP/1.1" 200 6907
0:0:0:0:0:0:0:1 - - [17/Mar/2020:12:22:14 +0530] "POST /Project_3/ForgetPasswordCtl HTTP/1.1" 200 6907
0:0:0:0:0:0:0:1 - - [17/Mar/2020:12:22:16 +0530] "POST /Project_3/ForgetPasswordCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Mar/2020:12:25:32 +0530] "GET /Project_3/ForgetPasswordCtl HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [17/Mar/2020:12:27:22 +0530] "GET /Project_3/ForgetPasswordCtl HTTP/1.1" 200 6800
0:0:0:0:0:0:0:1 - - [17/Mar/2020:12:27:24 +0530] "POST /Project_3/ForgetPasswordCtl HTTP/1.1" 200 6820
0:0:0:0:0:0:0:1 - - [17/Mar/2020:12:27:59 +0530] "POST /Project_3/ForgetPasswordCtl HTTP/1.1" 200 7007
0:0:0:0:0:0:0:1 - - [17/Mar/2020:12:28:24 +0530] "GET /Project_3/ForgetPasswordCtl HTTP/1.1" 200 6796
0:0:0:0:0:0:0:1 - - [17/Mar/2020:12:28:47 +0530] "POST /Project_3/ForgetPasswordCtl HTTP/1.1" 200 7051
