127.0.0.1 - - [16/Apr/2020:10:08:44 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:09:04 +0530] "GET /Project_3/ HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:09:12 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:09:26 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 4866
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:09:47 +0530] "GET /Project_3/LoginCtl HTTP/1.1" 200 7873
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:10:08 +0530] "POST /Project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:10:08 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10912
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:12:56 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10903
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:14:44 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10894
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:15:24 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10774
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:15:42 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10750
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:16:07 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10732
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:16:23 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10720
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:21:15 +0530] "GET /Project_3/WelcomeCtl HTTP/1.1" 200 10708
0:0:0:0:0:0:0:1 - - [16/Apr/2020:10:21:56 +0530] "GET /Project_3/LoginCtl?operation=logout HTTP/1.1" 200 8078
